Conference,Division,Team,GameType,Week,Venue,VenueCapacity,VenueSurface,VenueType,Temperature,WeatherCondition,Humidity,WindSpeed,WindDirection,TotalFirstDowns,PassingFirstDowns,RushingFirstDowns,PenaltyFirstDowns,ThirdDownAttempts,ThirdDownConversions,ThirdDownConversion%,ThirdDownPassingConversions,ThirdDownRushingConversions,ThirdDownPenaltyConversions,FourthDownAttempts,FourthDownConversions,FourthDownConversion%,FourthDownPassingConversions,FourthDownRushingConversions,FourthDownPenaltyConversions,TotalPlays,TotalYards,YardsperPlay,RushingPlays,RushingYards,RushingYardsperPlay,PassingPlays,PassingCompletions,PassingYardsperPlay,Interceptions,Sacks,NetPassingYards,GrossPassingYards,SackYards,TotalReturnYards,PuntReturns,PuntReturnYards,Kick-offReturns,Kick-offReturnYards,InterceptionReturns,InterceptionReturnYards,Kick-offs,Kick-offsinEndzone,Touchbacks,Punts,AveragePuntYards,PuntsBlocked,AverageNetPuntYards,Penalties,PenaltyYards,Fumbles,FumblesLost,TotalTD,PassingTD,RushingTD,InterceptionTD,FumbleTD,PuntReturnTD,Kick-offReturnTD,FieldGoalReturnTD,ExtraPointAttempts,ExtraPointsMade,ExtraPointsBlocked,Two-PointConversionAttempts,Two-PointConversionsMade,FieldGoalAttempts,FieldGoalsMade,FieldGoalsBlocked,RedzoneVisits,RedzoneTD,RedzoneEfficiency,Goal-to-goAttempts,Goal-to-goTD,Goal-to-goEfficiency,Safeties,Turnovers,PointsScored,TimeofPossesion,Win/Loss
AFC,AFC East,MIA,REG,1,Sun Life Stadium,76100,turf,outdoor,90,Partly Cloudy ,59,16,SE,25,10,11,4,13,7,53.846,4,3,0,0,0,0,0,0,0,71,360,5.07,38,191,5.026,32,18,5.121,1,1,169,178,9,24,3,24,3,75,0,0,8,7,5,2,50,0,42.5,4,26,3,2,3,2,1,0,0,0,0,0,3,3,0,0,0,4,4,0,6,3,50,3,2,66.667,0,3,33,30:27:00,W
AFC,AFC East,NE,REG,1,Sun Life Stadium,76100,turf,outdoor,90,Partly Cloudy ,59,16,SE,20,12,7,1,17,5,29.412,2,3,0,4,2,50,1,1,0,80,315,3.938,20,89,4.45,56,29,3.767,0,4,226,249,23,15,2,15,3,77,1,0,5,4,2,5,40.167,1,36.167,9,100,3,2,2,1,1,0,0,0,0,0,2,2,0,0,0,2,2,0,2,2,100,2,2,100,0,2,20,29:33:00,L
AFC,AFC East,NYJ,REG,1,MetLife Stadium,82500,artificial,outdoor,77,Sunny,47,8,NE,20,9,10,1,12,5,41.667,2,3,0,0,0,0,0,0,0,65,402,6.185,34,212,6.235,29,23,6.129,1,2,190,221,31,15,2,15,2,65,0,0,5,4,2,5,44.2,0,38.8,11,105,2,1,2,1,1,0,0,0,0,0,1,1,0,1,0,2,2,0,4,1,25,1,0,0,0,2,19,34:50:00,W
AFC,AFC East,BUF,REG,1,Soldier Field,61500,turf,outdoor,75,Partly Cloudy ,41,4,ENE,15,8,7,0,12,4,33.333,4,0,0,0,0,0,0,0,0,56,360,6.429,33,193,5.848,22,16,7.261,1,1,167,173,6,61,2,14,2,40,2,47,6,6,5,5,43,0,43.2,9,108,1,0,2,1,1,0,0,0,0,0,2,2,0,0,0,3,3,0,4,2,50,3,2,66.667,0,1,23,30:32:00,W
AFC,AFC North,PIT,REG,1,Heinz Field,65050,turf,outdoor,68,Sunny,53,9,E,24,16,6,2,12,4,33.333,3,1,0,1,1,100,1,0,0,67,503,7.507,29,127,4.379,35,24,9.895,1,3,376,390,14,46,3,46,2,29,0,0,5,5,1,6,43.667,0,40.333,11,96,1,0,3,1,2,0,0,0,0,0,3,3,0,0,0,3,3,0,3,1,33.333,1,0,0,0,1,30,32:27:00,W
AFC,AFC North,CLE,REG,1,Heinz Field,65050,turf,outdoor,68,Sunny,53,9,E,23,11,9,3,11,2,18.182,1,1,0,0,0,0,0,0,0,64,389,6.078,31,191,6.161,30,18,6,0,3,198,222,24,0,1,0,4,85,1,0,6,6,4,7,44.857,0,35.429,8,55,0,0,3,1,2,0,0,0,0,0,3,3,0,0,0,2,2,0,5,3,60,2,2,100,0,0,27,27:33:00,L
AFC,AFC North,BAL,REG,1,M&T Bank Stadium,71008,artificial,outdoor,75,Partly Cloudy ,48,8,N,26,16,8,2,17,8,47.059,6,2,0,2,1,50,0,1,0,85,423,4.976,20,94,4.7,62,35,5.062,1,3,329,345,16,2,2,2,4,109,0,0,4,4,4,4,42.25,0,31,3,29,2,1,2,1,1,0,0,0,0,0,1,1,0,1,0,2,1,0,3,1,33.333,0,0,0,0,2,16,29:30:00,L
AFC,AFC North,CIN,REG,1,M&T Bank Stadium,71008,artificial,outdoor,75,Partly Cloudy ,48,8,N,16,11,4,1,14,4,28.571,4,0,0,0,0,0,0,0,0,64,380,5.938,26,79,3.038,38,25,7.921,0,0,301,301,0,46,1,45,0,0,1,1,7,7,3,4,37.75,0,37.25,4,45,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,6,5,1,2,0,0,1,0,0,0,0,23,30:30:00,W
AFC,AFC South,JAC,REG,1,Lincoln Financial Field,68532,turf,outdoor,75,Partly Cloudy ,50,8,N,18,14,2,2,14,2,14.286,2,0,0,1,0,0,0,0,0,71,306,4.31,25,64,2.56,43,24,5.261,0,3,242,266,24,28,3,28,2,36,1,0,4,4,3,8,46.5,0,38.75,7,55,1,1,2,2,0,0,0,0,0,0,2,2,0,0,0,3,1,1,1,0,0,0,0,0,0,1,17,29:14:00,L
AFC,AFC South,TEN,REG,1,Arrowhead Stadium,79451,turf,outdoor,72,Sunny,53,9,ESE,24,18,5,1,16,7,43.75,6,1,0,0,0,0,0,0,0,75,405,5.4,38,162,4.263,33,22,6.568,0,4,243,266,23,10,1,-2,1,22,3,12,7,6,4,6,50.667,0,42.833,12,110,1,0,2,2,0,0,0,0,0,0,2,2,0,0,0,4,4,0,4,2,50,1,1,100,0,0,26,37:44:00,W
